"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Контракты ReqRes","Проверки контрактов ReqRes","0","0","2","0","0"
"","Интеграционные тесты ReqRes","Примеры","0","0","3","0","0"
