"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 29 05:32:56 GMT 2022","Mon Aug 29 05:33:00 GMT 2022","3946","All tests","Все тесты","tests.integration.ReqResIntegrationTest","tests.integration.ReqResIntegrationTest","loginWithoutPassword","Попытка входа без пароля",""
"passed","Mon Aug 29 05:32:56 GMT 2022","Mon Aug 29 05:33:00 GMT 2022","4062","All tests","Все тесты","tests.integration.ReqResIntegrationTest","tests.integration.ReqResIntegrationTest","registerAndLogin","Регистраци и логин",""
"passed","Mon Aug 29 05:32:56 GMT 2022","Mon Aug 29 05:33:00 GMT 2022","4330","All tests","Все тесты","tests.integration.ReqResIntegrationTest","tests.integration.ReqResIntegrationTest","createAndDeleteUser","Создание и удаление пользователя",""
"passed","Mon Aug 29 05:32:56 GMT 2022","Mon Aug 29 05:33:00 GMT 2022","4088","All tests","Все тесты","tests.contract.ReqResContractTest","tests.contract.ReqResContractTest","checkGetListUsers","Проверка контракта получения списка пользователей",""
"passed","Mon Aug 29 05:32:56 GMT 2022","Mon Aug 29 05:33:00 GMT 2022","3991","All tests","Все тесты","tests.contract.ReqResContractTest","tests.contract.ReqResContractTest","checkGetSingleUser","Проверка контракта получения пользователя",""
