"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 28 14:02:36 GMT 2022","Thu Jul 28 14:02:40 GMT 2022","3677","All tests","Все тесты","tests.integration.ReqResIntegrationTest","tests.integration.ReqResIntegrationTest","loginWithoutPassword","Попытка входа без пароля",""
"passed","Thu Jul 28 14:02:36 GMT 2022","Thu Jul 28 14:02:40 GMT 2022","4112","All tests","Все тесты","tests.integration.ReqResIntegrationTest","tests.integration.ReqResIntegrationTest","registerAndLogin","Регистраци и логин",""
"passed","Thu Jul 28 14:02:36 GMT 2022","Thu Jul 28 14:02:40 GMT 2022","3724","All tests","Все тесты","tests.contract.ReqResContractTest","tests.contract.ReqResContractTest","checkGetListUsers","Проверка контракта получения списка пользователей",""
"passed","Thu Jul 28 14:02:36 GMT 2022","Thu Jul 28 14:02:40 GMT 2022","3634","All tests","Все тесты","tests.contract.ReqResContractTest","tests.contract.ReqResContractTest","checkGetSingleUser","Проверка контракта получения пользователя",""
"passed","Thu Jul 28 14:02:36 GMT 2022","Thu Jul 28 14:02:41 GMT 2022","4251","All tests","Все тесты","tests.integration.ReqResIntegrationTest","tests.integration.ReqResIntegrationTest","createAndDeleteUser","Создание и удаление пользователя",""
