"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 15 05:30:02 GMT 2022","Mon Aug 15 05:30:05 GMT 2022","3612","All tests","Все тесты","tests.contract.ReqResContractTest","tests.contract.ReqResContractTest","checkGetListUsers","Проверка контракта получения списка пользователей",""
"passed","Mon Aug 15 05:30:02 GMT 2022","Mon Aug 15 05:30:05 GMT 2022","3542","All tests","Все тесты","tests.contract.ReqResContractTest","tests.contract.ReqResContractTest","checkGetSingleUser","Проверка контракта получения пользователя",""
"passed","Mon Aug 15 05:30:02 GMT 2022","Mon Aug 15 05:30:06 GMT 2022","3867","All tests","Все тесты","tests.integration.ReqResIntegrationTest","tests.integration.ReqResIntegrationTest","registerAndLogin","Регистраци и логин",""
"passed","Mon Aug 15 05:30:02 GMT 2022","Mon Aug 15 05:30:06 GMT 2022","3626","All tests","Все тесты","tests.integration.ReqResIntegrationTest","tests.integration.ReqResIntegrationTest","loginWithoutPassword","Попытка входа без пароля",""
"passed","Mon Aug 15 05:30:02 GMT 2022","Mon Aug 15 05:30:06 GMT 2022","3993","All tests","Все тесты","tests.integration.ReqResIntegrationTest","tests.integration.ReqResIntegrationTest","createAndDeleteUser","Создание и удаление пользователя",""
