"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 29 09:33:49 GMT 2022","Fri Jul 29 09:33:53 GMT 2022","3831","All tests","Все тесты","tests.integration.ReqResIntegrationTest","tests.integration.ReqResIntegrationTest","createAndDeleteUser","Создание и удаление пользователя",""
"passed","Fri Jul 29 09:33:49 GMT 2022","Fri Jul 29 09:33:53 GMT 2022","3632","All tests","Все тесты","tests.contract.ReqResContractTest","tests.contract.ReqResContractTest","checkGetListUsers","Проверка контракта получения списка пользователей",""
"passed","Fri Jul 29 09:33:49 GMT 2022","Fri Jul 29 09:33:53 GMT 2022","3539","All tests","Все тесты","tests.contract.ReqResContractTest","tests.contract.ReqResContractTest","checkGetSingleUser","Проверка контракта получения пользователя",""
"passed","Fri Jul 29 09:33:49 GMT 2022","Fri Jul 29 09:33:53 GMT 2022","3641","All tests","Все тесты","tests.integration.ReqResIntegrationTest","tests.integration.ReqResIntegrationTest","registerAndLogin","Регистраци и логин",""
"passed","Fri Jul 29 09:33:49 GMT 2022","Fri Jul 29 09:33:53 GMT 2022","3459","All tests","Все тесты","tests.integration.ReqResIntegrationTest","tests.integration.ReqResIntegrationTest","loginWithoutPassword","Попытка входа без пароля",""
