"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 29 11:56:29 GMT 2022","Fri Jul 29 11:56:33 GMT 2022","4055","All tests","Все тесты","tests.integration.ReqResIntegrationTest","tests.integration.ReqResIntegrationTest","registerAndLogin","Регистраци и логин",""
"passed","Fri Jul 29 11:56:29 GMT 2022","Fri Jul 29 11:56:32 GMT 2022","3710","All tests","Все тесты","tests.contract.ReqResContractTest","tests.contract.ReqResContractTest","checkGetListUsers","Проверка контракта получения списка пользователей",""
"passed","Fri Jul 29 11:56:29 GMT 2022","Fri Jul 29 11:56:32 GMT 2022","3574","All tests","Все тесты","tests.contract.ReqResContractTest","tests.contract.ReqResContractTest","checkGetSingleUser","Проверка контракта получения пользователя",""
"passed","Fri Jul 29 11:56:29 GMT 2022","Fri Jul 29 11:56:33 GMT 2022","4193","All tests","Все тесты","tests.integration.ReqResIntegrationTest","tests.integration.ReqResIntegrationTest","createAndDeleteUser","Создание и удаление пользователя",""
"passed","Fri Jul 29 11:56:29 GMT 2022","Fri Jul 29 11:56:32 GMT 2022","3769","All tests","Все тесты","tests.integration.ReqResIntegrationTest","tests.integration.ReqResIntegrationTest","loginWithoutPassword","Попытка входа без пароля",""
