"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 26 05:32:06 GMT 2022","Mon Sep 26 05:32:10 GMT 2022","3649","All tests","Все тесты","tests.contract.ReqResContractTest","tests.contract.ReqResContractTest","checkGetListUsers","Проверка контракта получения списка пользователей",""
"passed","Mon Sep 26 05:32:06 GMT 2022","Mon Sep 26 05:32:10 GMT 2022","3531","All tests","Все тесты","tests.integration.ReqResIntegrationTest","tests.integration.ReqResIntegrationTest","registerAndLogin","Регистраци и логин",""
"passed","Mon Sep 26 05:32:06 GMT 2022","Mon Sep 26 05:32:09 GMT 2022","3507","All tests","Все тесты","tests.contract.ReqResContractTest","tests.contract.ReqResContractTest","checkGetSingleUser","Проверка контракта получения пользователя",""
"passed","Mon Sep 26 05:32:06 GMT 2022","Mon Sep 26 05:32:10 GMT 2022","3815","All tests","Все тесты","tests.integration.ReqResIntegrationTest","tests.integration.ReqResIntegrationTest","createAndDeleteUser","Создание и удаление пользователя",""
"passed","Mon Sep 26 05:32:06 GMT 2022","Mon Sep 26 05:32:09 GMT 2022","3361","All tests","Все тесты","tests.integration.ReqResIntegrationTest","tests.integration.ReqResIntegrationTest","loginWithoutPassword","Попытка входа без пароля",""
