"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Интеграционные тесты ReqRes","Примеры","0","3","0","0","0"
"","Контракты ReqRes","Проверки контрактов ReqRes","0","2","0","0","0"
