"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Sep 07 08:29:35 GMT 2022","Wed Sep 07 08:29:38 GMT 2022","3059","All tests","Все тесты","tests.integration.ReqResIntegrationTest","tests.integration.ReqResIntegrationTest","createAndDeleteUser","Создание и удаление пользователя",""
"broken","Wed Sep 07 08:29:35 GMT 2022","Wed Sep 07 08:29:38 GMT 2022","3059","All tests","Все тесты","tests.contract.ReqResContractTest","tests.contract.ReqResContractTest","checkGetSingleUser","Проверка контракта получения пользователя",""
"broken","Wed Sep 07 08:29:35 GMT 2022","Wed Sep 07 08:29:38 GMT 2022","3055","All tests","Все тесты","tests.integration.ReqResIntegrationTest","tests.integration.ReqResIntegrationTest","registerAndLogin","Регистраци и логин",""
"broken","Wed Sep 07 08:29:35 GMT 2022","Wed Sep 07 08:29:38 GMT 2022","3063","All tests","Все тесты","tests.integration.ReqResIntegrationTest","tests.integration.ReqResIntegrationTest","loginWithoutPassword","Попытка входа без пароля",""
"broken","Wed Sep 07 08:29:35 GMT 2022","Wed Sep 07 08:29:38 GMT 2022","3065","All tests","Все тесты","tests.contract.ReqResContractTest","tests.contract.ReqResContractTest","checkGetListUsers","Проверка контракта получения списка пользователей",""
