"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 12 05:27:23 GMT 2022","Mon Sep 12 05:27:26 GMT 2022","3051","All tests","Все тесты","tests.integration.ReqResIntegrationTest","tests.integration.ReqResIntegrationTest","registerAndLogin","Регистраци и логин",""
"passed","Mon Sep 12 05:27:23 GMT 2022","Mon Sep 12 05:27:26 GMT 2022","3171","All tests","Все тесты","tests.integration.ReqResIntegrationTest","tests.integration.ReqResIntegrationTest","createAndDeleteUser","Создание и удаление пользователя",""
"passed","Mon Sep 12 05:27:23 GMT 2022","Mon Sep 12 05:27:26 GMT 2022","2857","All tests","Все тесты","tests.contract.ReqResContractTest","tests.contract.ReqResContractTest","checkGetSingleUser","Проверка контракта получения пользователя",""
"passed","Mon Sep 12 05:27:23 GMT 2022","Mon Sep 12 05:27:26 GMT 2022","2862","All tests","Все тесты","tests.integration.ReqResIntegrationTest","tests.integration.ReqResIntegrationTest","loginWithoutPassword","Попытка входа без пароля",""
"passed","Mon Sep 12 05:27:23 GMT 2022","Mon Sep 12 05:27:26 GMT 2022","2929","All tests","Все тесты","tests.contract.ReqResContractTest","tests.contract.ReqResContractTest","checkGetListUsers","Проверка контракта получения списка пользователей",""
